model,accuracy,macro_f1,neg_f1,neu_f1,pos_f1
ProsusAI/finbert (base),0.821839,0.816791,0.806283,0.838207,0.805882
fine-tuned (training/finetuned_finbert),0.913793,0.902107,0.848780,0.945701,0.911839
